cod_provin,provincia,cod_canton,canton,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020
1,San José,112,Acosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,5,6,8,8,8,18,21
1,San José,110,Alajuelita,12,11,11,11,11,11,9,9,9,9,8,8,8,7,7,6,6,6,4,4,4,4,4,4,3,2,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,3,3,3,3,6,5,9,9,12,14,16,19,18,19,33,40,37,49,50,56,65,72,78,97,102,107,112,117,145,163,184,177,191,208,217,222,249,288
1,San José,106,Aserrí,11,10,10,10,11,10,10,10,10,10,10,10,9,9,9,8,7,8,8,8,14,14,14,13,12,13,11,11,11,11,11,11,10,10,10,10,11,11,13,13,13,13,13,13,13,13,17,17,17,17,17,17,18,18,18,18,18,3,3,3,4,4,4,5,5,6,6,9,11,12,13,17,25,27,30,36,52,52,53,57
1,San José,118,Curridabat,19,19,17,17,16,15,13,12,12,11,11,11,11,11,11,9,10,8,7,7,7,7,7,8,8,8,8,7,7,7,7,7,7,6,6,6,6,5,3,3,3,3,3,3,3,3,4,4,4,5,5,6,6,6,6,6,6,5,6,7,8,8,8,9,9,12,14,16,15,22,25,28,36,40,44,61,68,71,75,100
1,San José,103,Desamparados,45,42,43,41,37,34,33,29,28,28,28,27,27,27,27,28,27,27,27,24,23,23,23,22,23,21,19,19,19,19,18,18,18,15,14,14,14,14,14,14,12,11,8,14,15,15,13,13,11,11,13,14,15,15,14,14,15,15,19,29,36,44,47,54,72,85,91,105,110,134,144,189,200,221,238,250,264,289,316,375
1,San José,117,Dota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,San José,102,Escazú,16,18,18,18,18,16,16,15,15,14,13,13,13,13,13,13,13,13,13,12,11,9,9,9,9,8,7,4,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,4,12,12,12,13,13,13,15,16,16,18,20,24,24,29,30,30,33,33,31,35,50,56,58,69,71,71,84
1,San José,108,Goicoechea,16,15,16,16,17,16,15,16,16,16,16,14,14,16,17,20,19,17,15,15,14,14,14,14,15,15,16,16,16,16,16,17,16,17,17,17,17,18,17,15,15,14,15,15,15,15,17,19,18,20,21,22,23,22,23,25,26,20,23,24,19,19,22,22,17,21,24,23,27,36,38,51,61,70,72,79,92,106,112,137
1,San José,120,León Cortés Castro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,San José,115,Montes de Oca,14,14,13,12,12,12,11,10,9,7,7,5,6,6,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,1,1,1,1,1,1,1,2,3,4,4,7,9,11,16,25,28,28,32,34,34,37,43
